/rn,a,b/nx0/ls1
/r,qa,qb
246 -0.49 0.49 0 OUTPUT_AMPLITUDE_3D 0 0 0 0 0 Wavelength=1
10 0.1 0.19
 0.3895160511 0.4768842126 0.5438238126 0.5852410051 0.5977866792 0.580013784 0.5324509631 0.4576086246 0.3599901272 0.2464481251
 0.3888134399 0.4762974901 0.5433308786 0.5848231249 0.5974275419 0.5796982832 0.532163039 0.4573263161 0.3596722807 0.2459926223
 0.386717342 0.4745471174 0.541860296 0.5835764845 0.5963562959 0.5787576344 0.5313057412 0.4564885742 0.3587359966 0.2446671395
 0.3832599613 0.4716601785 0.5394349723 0.5815207231 0.5945902756 0.5772081638 0.5298967452 0.4551198243 0.3572266636 0.2425804677
 0.3784944656 0.4676813655 0.536092686 0.5786881949 0.5921579627 0.5750765118 0.5279644489 0.4532583328 0.3552135331 0.2398949839
 0.3724942431 0.4626723187 0.5318855003 0.5751234228 0.5890984056 0.5723988452 0.5255465413 0.4509529631 0.3527813323 0.2368023463
 0.3653518742 0.4567107169 0.5268789575 0.5708823546 0.5854604493 0.5692198577 0.5226882599 0.4482593349 0.3500205558 0.2334963552
 0.3571778311 0.449889127 0.5211510673 0.5660314442 0.5813018162 0.5655916429 0.5194405475 0.4452359389 0.3470179572 0.2301476916
 0.3480989203 0.4423136285 0.5147911051 0.5606465788 0.5766880746 0.5615725232 0.5158583133 0.4419407358 0.3438486333 0.2268842632
 0.3382564825 0.4341022295 0.5078982398 0.5548118744 0.571691532 0.5572259101 0.5119989714 0.4384286693 0.3405707565 0.2237793222
 0.3278043711 0.4253830903 0.5005800082 0.5486183624 0.5663900817 0.5526192456 0.5079213703 0.4347503642 0.3372235636 0.2208480551
 0.3169067221 0.4162925765 0.4929506572 0.5421625854 0.5608660232 0.5478230504 0.5036851507 0.4309520822 0.333828729 0.2180524132
 0.3057355341 0.4069731604 0.4851293745 0.5355451198 0.5552048669 0.5429100738 0.4993504955 0.4270768135 0.3303947964 0.2153134971
 0.2944680688 0.3975711949 0.4772384282 0.528869041 0.5494941236 0.5379545162 0.4949781618 0.4231662024 0.3269239248 0.2125303587
 0.2832840818 0.3882345839 0.4694012414 0.5222383452 0.5438220758 0.5330312762 0.4906296404 0.4192628725 0.3234198553 0.2096032289
 0.27236289 0.3791103799 0.4617404249 0.5157563446 0.5382765249 0.5282151665 0.4863672617 0.4154126487 0.3198957643 0.2064579485
 0.2618802878 0.3703423424 0.4543758011 0.5095240528 0.5329435112 0.5235800494 0.4822540773 0.4116661837 0.3163806039 0.2030673305
 0.2520053306 0.3620685011 0.4474224507 0.5036385846 0.5279060115 0.5191978564 0.4783533856 0.4080795896 0.3129227108 0.1994649634
 0.2428970339 0.3544187754 0.4409888219 0.4981915964 0.5232426276 0.5151374811 0.4747278318 0.4047138428 0.309589901 0.1957480266
 0.2347010729 0.3475127102 0.4351749438 0.4932677976 0.5190262896 0.5114635642 0.4714380891 0.4016329397 0.3064659054 0.1920679313
 0.2275466246 0.3414574004 0.4300707876 0.4889435694 0.5153230096 0.5082352143 0.4685412043 0.3989009993 0.3036436948 0.1886105002
 0.2215435523 0.3363456728 0.4257548189 0.4852857251 0.5121907242 0.5055047334 0.4660887551 0.3965786879 0.3012168269 0.1855700528
 0.2167801725 0.3322545969 0.4222927784 0.4823504435 0.5096782706 0.503316426 0.4641250004 0.3947194477 0.2992702543 0.183123164
 0.2133218383 0.3292443771 0.4197367211 0.4801824061 0.5078245347 0.501705571 0.4626852199 0.3933660313 0.29787201 0.1814073223
 0.2112105011 0.3273576572 0.4181243316 0.4788141536 0.5066578038 0.5006976289 0.461794412 0.3925477776 0.2970668733 0.1805073798
